geneID	sampleID	pValue	padjust	zScore	l2fc	rawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank
ZDHHC13	BS_MM20BVW9	5.70895880704995e-10	3.118281775553193e-5	-7.7	-3.66	32	30.1	391.99	13.45	TRUE	20	8	3
XRCC4	BS_ERWT0ZWE	1.5253107602733295e-9	3.1242663329050884e-5	4.91	1.16	686	443.16	197.36	46.27	TRUE	26	4	8
COASY	BS_996ZS2A4	3.65272910298459e-9	3.150239449913415e-5	-6.49	-1.09	601	832.93	1774.03	85.22	TRUE	118	2	19
EPB41L3	BS_4D9DD103	3.657540865838773e-9	3.154389280010175e-5	-8.36	-4.98	104	117.62	3741.63	7.42	TRUE	59	3	19
ENOX2	BS_JR5ATB7G	1.5521179852788114e-9	3.1791750851046934e-5	4.9	1.74	7660	1981.33	594.42	15.8	TRUE	70	4	8
TUSC3	BS_JFEZA9KE	7.1923351587688e-9	3.185282054844018e-5	-7.13	-3.55	138	186.31	2199.95	11.49	TRUE	188	3	37
SMC6	BS_WAXJY4XQ	2.5281289926159817e-9	3.1866588975586776e-5	5.23	1.12	4794	2400.27	1108.33	45.11	TRUE	28	4	13
CPT1C	BS_AGTPCRR4	5.841632617460471e-10	3.190749337341418e-5	-8.12	-3.56	58	143.26	1711.39	13.51	TRUE	12	3	3
ZNF717	BS_7C40TRCY	2.152443565719492e-9	3.2064080512773826e-5	-6.42	-3.3	82	75.54	750.82	13.95	TRUE	22	12	11
ZNF677	BS_7BTZQKYY	5.880408989488994e-10	3.211929320996108e-5	-6.56	-2.21	454	234.94	1084.87	26.88	TRUE	11	7	3
TGM1	BS_46BZ2NNN	9.811699440399265e-10	3.215540127676538e-5	4.18	2.37	7544	252.97	48.87	7.14	TRUE	20	5	5
MINDY1	BS_1TWCV047	2.9527796684661844e-9	3.225666654322924e-5	-7.22	-1.95	210	553.06	2144.01	31.38	TRUE	64	6	15
NDUFS6	BS_M15PW2N0	2.169862915925505e-9	3.232356952162926e-5	-7.15	-1.83	1081	437.68	1556.12	33.75	TRUE	73	5	11
ZNF701	BS_WRQHPSXQ	5.928466612576465e-10	3.238178802786905e-5	-6.11	-1.57	162	212.32	632.09	53.57	TRUE	18	4	3
MBD4	BS_74G5K7JF	1.7796386830930713e-9	3.2401791991128506e-5	5.29	0.79	2670	1677.05	970.25	104.6	TRUE	42	3	9
VIP	BS_T55Y4Z0Y	3.9644861981777585e-10	3.2481540362343266e-5	4.02	4.22	3650	74.25	3.93	1.24	TRUE	16	1	2
TMED7	BS_HZ707C55	1.4789571886643776e-9	3.2759298285131535e-5	-6.58	-0.89	1541	1857.97	3426.02	126.19	TRUE	82	3	7
NF2	BS_HZ707C55	1.3743332357050188e-9	3.2759298285131535e-5	-7.07	-2.03	583	1289.74	5277.86	29.42	TRUE	82	7	7
AMMECR1L	BS_HZ707C55	1.599355011672519e-9	3.2759298285131535e-5	-6.6	-0.8	735	914.19	1591.4	165.52	TRUE	82	1	7
FTSJ1	BS_FCAKKZ20	3.814052033846715e-9	3.289369904608857e-5	5.48	0.99	2109	2118.84	1061.63	58.78	TRUE	67	2	19
PAF1	BS_RX1YTZ7F	2.8172632495994238e-9	3.297456661066423e-5	5.34	0.78	8053	3797.78	2211.2	101.39	TRUE	102	6	13.5
SARS2	BS_RX1YTZ7F	2.6896229019256162e-9	3.297456661066423e-5	5.07	0.97	1633	1097.15	558.92	64.2	TRUE	102	4	13.5
HIST1H2AL	BS_8ZE4Z9G5	2.6166578444162315e-9	3.298247844999213e-5	-6.46	-3.47	257	24.63	275.8	12.44	TRUE	36	5	13
TSC2	BS_29CPJ040	8.071168577908343e-10	3.3064056075552487e-05	-6.75	-1.26	1556	2332.52	5597.89	67.56	TRUE	12	4	4
POLR3GL	BS_QX12J6W1	9.290891843998358e-9	3.309628705279588e-5	-6.47	-1.2	319	355.88	821.17	70.55	TRUE	178	3	46
ZNF681	BS_1BWP5MCT	1.2158947229834438e-9	3.320660109675755e-5	-8.06	-4.97	6	8.54	309.64	9.27	TRUE	37	11	6
DKC1	BS_M0XGZ53Z	4.057759255288198e-9	3.32457383990635e-5	-7.34	-0.97	211	761.3	1488.81	137.2	TRUE	114	1	20
HIST1H2AG	BS_YDEVMD24	2.030370041503891e-10	3.3270160700226094e-5	4.67	2.21	105	5701.46	1198.88	12.14	TRUE	9	6	1
VEZT	BS_3KHXMAJF	3.5657612679386837e-9	3.3272689754804565e-5	5.41	0.82	1744	4465.54	2528.91	94.66	TRUE	52	2	17.5
AGER	BS_3KHXMAJF	3.6549438867095454e-9	3.3272689754804565e-5	4.6	1.94	3870	490.17	127.5	11.34	TRUE	52	2	17.5
XRCC6	BS_WWKNJSJ5	1.2217638773162297e-9	3.336689019335459e-5	5.64	0.54	9624	11650.38	7985.14	233.08	TRUE	29	4	6
LRRC23	BS_49FQXT2E	4.68862856264389e-9	3.340393998740587e-5	4.92	1.28	3803	1275.04	524.74	31.67	TRUE	93	2	23
NMRAL1	BS_WBVSK3MP	2.0396334239476515e-9	3.342195284462914e-5	-7.74	-2.9	21	134.84	1048.14	20.59	TRUE	85	7	10
MRPS34	BS_JMHG7GCN	6.1212259786793e-10	3.343465605284654e-5	-6.49	-0.93	829	911.22	1732.47	126.73	TRUE	4	3	3
P4HTM	BS_996ZS2A4	4.423365160148395e-9	3.36253153411233e-5	-6.09	-1.93	459	687.82	2615.3	30.33	TRUE	118	11	21
